kind,title,option/0,option/1,option/2,option/3,star,imgurl,price,guest,roomInfo/0,roomInfo/1,roomInfo/2
아파트 전체,Dwyane's luxury house (中文ok),무선 인터넷,에어컨,주방,난방,4.64,https://a0.muscache.com/im/pictures/b4066637-a13d-4a2f-801b-0d4d8551d719.jpg?aki_policy=large,70000,8,침실 3개,침대 3개,욕실 2개
콘도(아파트) 전체,MyeongDong 803 ♥Big City Window♥ +Free WiFi,무선 인터넷,에어컨,주방,난방,4.52,https://a0.muscache.com/im/pictures/2921d007-90b1-4cd0-8ade-554c3310540b.jpg?aki_policy=large,60000,2,침실 1개,침대 1개,욕실 1개
집 전체,[Open Discount]Cozy House. 2min Hongik Stn,무선 인터넷,에어컨,주방,난방,4.84,https://a0.muscache.com/im/pictures/6dcba517-ff6f-412f-8287-af21ff6463fb.jpg?aki_policy=large,120000,2,침실 1개,침대 2개,욕실 1개
집 전체,경복궁 한옥- Gyeongbokgung Palace Central Seoul(독채),무선 인터넷,에어컨,난방,,4.64,https://a0.muscache.com/im/pictures/4ee3bbf6-ef8c-4f4f-b52d-53f058564f90.jpg?aki_policy=large,220000,3,침실 1개,침대 1개,욕실 1개
로프트 전체,[Myeongdong] #07Jongno Hans'house(Luggage Storage),무선 인터넷,에어컨,주방,난방,4.58,https://a0.muscache.com/im/pictures/0898dc3e-2a14-4986-9b02-f5c1900aa3d2.jpg?aki_policy=large,240000,5,침실 1개,침대 3개,욕실 1개
주택의 개인실,"#2 Cozy Garden House, Gangnam, Shinsa, Samsung",무선 인터넷,에어컨,난방,,4.97,https://a0.muscache.com/im/pictures/620ca54e-cd4d-4a3d-9d98-5d0b0574beda.jpg?aki_policy=large,210000,2,침실 1개,침대 1개,공동 사용 욕실 2개
집 전체,경복궁 한옥- Gyeongbokgung Palace Central Seoul(독채),무선 인터넷,에어컨,난방,,4.64,https://a0.muscache.com/im/pictures/4ee3bbf6-ef8c-4f4f-b52d-53f058564f90.jpg?aki_policy=large,170000,3,침실 1개,침대 1개,욕실 1개
아파트 전체,★Big City View★MyeongDong Guest house,무선 인터넷,에어컨,주방,난방,4.55,https://a0.muscache.com/im/pictures/78c5d7d7-119f-44e5-8d28-2f49b0dd153d.jpg?aki_policy=large,120000,3,침실 1개,침대 2개,욕실 1개
B&B의 객실,Economy double room(a double bed),무선 인터넷,에어컨,주방,난방,4.53,https://a0.muscache.com/im/pictures/93826918/5c633c07_original.jpg?aki_policy=large,90000,2,침실 1개,침대 1개,욕실 1개
아파트 전체,NEW amazing rooftop apartment @ Hongdae!,무선 인터넷,에어컨,주방,난방,4.95,https://a0.muscache.com/im/pictures/b5e33eb7-b5f9-4ed5-825b-45acf81aac1e.jpg?aki_policy=large,70000,5,침실 2개,침대 3개,욕실 1개
호스텔의 다인실,6 Female Super Bunkbed' in Beautiful Shared House,무선 인터넷,에어컨,주방,난방,4.83,https://a0.muscache.com/im/pictures/7841b4e8-eb84-4116-8e30-22519ac60057.jpg?aki_policy=large,180000,2,침실 1개,침대 6개,공동 사용 욕실 5개
아파트 전체,[ Myeongdong] #003Jongno Nana'house,무선 인터넷,에어컨,주방,난방,4.78,https://a0.muscache.com/im/pictures/f3fa96be-917f-4bd0-8b1a-90a60b030ef2.jpg?aki_policy=large,100000,3,원룸,침대 3개,욕실 1개
아파트 전체,홍대 중심에 위치한 감각적인 복층 스튜디오 #3,무선 인터넷,에어컨,주방,난방,4.75,https://a0.muscache.com/im/pictures/b8cf8052-8b2f-40ab-bb5d-d8e7d2b569e7.jpg?aki_policy=large,210000,5,침실 2개,침대 3개,욕실 1개
공동주택의 개인실,Close to hongdae and privacy 홍대가까운집,무선 인터넷,주방,난방,,4.79,https://a0.muscache.com/im/pictures/2b285203-fd55-43b5-93f4-1792f18433e4.jpg?aki_policy=large,230000,2,침실 1개,침대 1개,욕실 1개
콘도(아파트) 전체,Itaewon❤️ Sunshine View,무선 인터넷,에어컨,주방,난방,4.84,https://a0.muscache.com/im/pictures/937a3bcc-c1bb-49d7-b862-58fa515e63fc.jpg?aki_policy=large,50000,8,침실 3개,침대 5개,욕실 3개
아파트 전체,H1] NEAR HONGDAE 초고층뷰 최고급 레지던스 HIGH-END RESIDENCE,무선 인터넷,에어컨,주방,난방,4.92,https://a0.muscache.com/im/pictures/2255f33b-6771-41f3-8a3e-9a4b5a44b22b.jpg?aki_policy=large,130000,2,침실 1개,침대 1개,욕실 1개
아파트 전체,Gang-nam / City view / 24H guard.,무선 인터넷,에어컨,주방,난방,4.38,https://a0.muscache.com/im/pictures/4059e22e-d4e9-48ca-8647-146a3219a544.jpg?aki_policy=large,50000,2,침실 1개,침대 1개,욕실 1개
아파트 전체,"Gangnam,Garosu-gil, JINJIN house (3min from Sinsa)",무선 인터넷,에어컨,주방,난방,4.69,https://a0.muscache.com/im/pictures/98c2e017-6185-4712-ba69-326cce19e07b.jpg?aki_policy=large,250000,3,침실 1개,침대 1개,욕실 1개
아파트 전체,Moonhouse#501 *Near Hongdae*,무선 인터넷,에어컨,주방,난방,4.75,https://a0.muscache.com/im/pictures/1e9752c9-beb2-4158-a482-6b4ef761f19e.jpg?aki_policy=large,260000,2,원룸,침대 1개,욕실 1개
아파트 전체,★Cozy & Clean★ 불광역 1분 거리에 위치!!,무선 인터넷,에어컨,주방,난방,4.79,https://a0.muscache.com/im/pictures/6b233883-61f9-4c90-8d94-25f18b08f767.jpg?aki_policy=large,240000,2,침실 1개,침대 1개,욕실 1개
아파트 전체,Love Cozy Room Hong ik station exit 6. walk2min,무선 인터넷,에어컨,주방,난방,4.79,https://a0.muscache.com/im/pictures/5fd6802e-ff38-4bd4-aeb1-f0088217a2ec.jpg?aki_policy=large,220000,2,침실 1개,침대 1개,욕실 1개
로프트 전체,Lavi's House★30sec from the Gongdeok station,무선 인터넷,에어컨,주방,난방,4.86,https://a0.muscache.com/im/pictures/6b774f95-7900-4a66-abd9-636aa593c697.jpg?aki_policy=large,140000,3,침실 1개,침대 2개,욕실 1개
콘도(아파트) 전체,Frozen Cactus,무선 인터넷,에어컨,난방,,4.75,https://a0.muscache.com/im/pictures/35069d4e-17be-4d51-934f-d5c98a79fc87.jpg?aki_policy=large,80000,4,원룸,침대 1개,욕실 1개
콘도(아파트) 전체,[Azit2] Rooftop house Mapo Hongdae/Sinchon/Itaewon,무선 인터넷,에어컨,주방,난방,4.84,https://a0.muscache.com/im/pictures/8c229daa-c729-4226-b35d-8b6d0fc8e5e1.jpg?aki_policy=large,180000,4,침실 1개,침대 2개,욕실 1개
집 전체,★망고타운★역에서 단 1분거리!퀸사이즈침대4개@클럽7분@파티투나잇,무선 인터넷,에어컨,주방,난방,4.45,https://a0.muscache.com/im/pictures/19f9a1ad-d5bd-49f6-b44d-91720e507bf8.jpg?aki_policy=large,160000,1,침실 2개,침대 4개,욕실 1개
로프트 전체,[Myeongdong] Jongno Hans' house 8(Luggage Storage),무선 인터넷,에어컨,주방,난방,4.51,https://a0.muscache.com/im/pictures/6eb887c2-d7bf-4394-9633-614ae839450b.jpg?aki_policy=large,150000,5,침실 1개,침대 3개,욕실 1개
로프트 전체,서울역 복층 스튜디오(남산뷰),무선 인터넷,에어컨,주방,난방,4.39,https://a0.muscache.com/im/pictures/0cff0566-5c78-4713-84dd-de1159ffc2a8.jpg?aki_policy=large,270000,7,침실 1개,침대 4개,욕실 1개
주택의 개인실,[Sinchon / Hongdae] Private Double Room,무선 인터넷,에어컨,주방,난방,4.97,https://a0.muscache.com/im/pictures/1c0ae1be-8f0f-4fa9-bbe7-b4094c48cea1.jpg?aki_policy=large,240000,2,침실 1개,침대 1개,공동 사용 욕실 1개
아파트 전체,Ju's house#1. Hangang view house,무선 인터넷,에어컨,주방,난방,4.8,https://a0.muscache.com/im/pictures/62073973/bed2cc4c_original.jpg?aki_policy=large,260000,4,침실 1개,침대 2개,욕실 1개
주택의 개인실,"Jamsil ""Comestay"" TH - Double bedroom",무선 인터넷,에어컨,주방,난방,4.84,https://a0.muscache.com/im/pictures/110168922/fdcd1e6f_original.jpg?aki_policy=large,280000,2,침실 1개,침대 1개,공동 사용 욕실 2.5개
주택의 개인실,"#1 Cozy Garden House, Gangnam, Shinsa, Samsung",무선 인터넷,에어컨,난방,,4.99,https://a0.muscache.com/im/pictures/3e6d3463-fb1b-4bef-9549-d0aaf730c973.jpg?aki_policy=large,230000,1,침실 1개,침대 1개,공동 사용 욕실 2개
아파트 전체,[Sale]Subway 10sec Building@Hongdae Area Free wifi,무선 인터넷,에어컨,주방,난방,4.76,https://a0.muscache.com/im/pictures/8da496c3-97f7-4754-a4cc-2f2aa3d553cc.jpg?aki_policy=large,270000,2,침실 1개,침대 1개,욕실 1개
아파트의 개인실,"(special offer) Cozy loft, 3 mins > subway",무선 인터넷,에어컨,주방,난방,4.9,https://a0.muscache.com/im/pictures/cf526514-284b-4daa-a7b4-21c3e2fcf0b7.jpg?aki_policy=large,160000,2,침실 1개,침대 2개,공동 사용 욕실 1개
아파트의 개인실,"Art House (Room 01)- 외국인전용, Only Female",무선 인터넷,에어컨,주방,난방,4.85,https://a0.muscache.com/im/pictures/cfe9eca5-0f1f-4bb9-bb50-0a4044a50e7c.jpg?aki_policy=large,140000,1,침실 1개,침대 1개,공동 사용 욕실 1개
아파트 전체,[Myeong-dong] Modern house,무선 인터넷,에어컨,주방,난방,4.76,https://a0.muscache.com/im/pictures/219fc82e-417f-4dd5-b3e5-9046118c0af2.jpg?aki_policy=large,150000,4,침실 2개,침대 2개,욕실 1개
집 전체,Most Intimate Guest Room_#5mins from Hongdae stn.,무선 인터넷,에어컨,주방,난방,4.59,https://a0.muscache.com/im/pictures/4a35ecfa-571f-4b2a-a81b-9896b56f42f3.jpg?aki_policy=large,150000,3,침실 1개,침대 2개,욕실 1개
아파트 전체,#5 Connceted to Mapo Stn./HAN River View/Hongdae,무선 인터넷,에어컨,주방,난방,4.77,https://a0.muscache.com/im/pictures/422b50f4-66c5-475e-8b51-86d9782cc112.jpg?aki_policy=large,70000,2,침실 1개,침대 1개,욕실 1개
아파트 전체,+The Best Spot+ Insadong,무선 인터넷,에어컨,주방,난방,4.55,https://a0.muscache.com/im/pictures/33123843/f413aa4f_original.jpg?aki_policy=large,150000,2,원룸,침대 1개,욕실 1개
집 전체,Cheap! Seoul Station Metro 4min. Clean&Cozy,무선 인터넷,에어컨,주방,난방,4.61,https://a0.muscache.com/im/pictures/dea9ae00-6d47-4019-91d3-674581e49df0.jpg?aki_policy=large,50000,3,원룸,침대 2개,욕실 1개
집 전체,(독채) 경복궁과 청와대 5분거리 리노베이션 한옥,무선 인터넷,에어컨,주방,난방,4.9,https://a0.muscache.com/im/pictures/4230043/7e9a64d3_original.jpg?aki_policy=large,200000,4,침실 2개,침대 0개,욕실 2개
아파트 전체,#4 Connected to Mapo Stn./HAN River view/Hongdae,무선 인터넷,에어컨,주방,난방,4.63,https://a0.muscache.com/im/pictures/9a30b084-8531-4536-9f06-91e335738b5e.jpg?aki_policy=large,220000,4,침실 1개,침대 2개,욕실 1개
아파트 전체,[Free Pocket Wi-Fi] 벚꽃나무/함께 보는 풀 윈도우 한강뷰 + 넓은 스튜디오,무선 인터넷,에어컨,주방,난방,4.86,https://a0.muscache.com/im/pictures/dc53d9d5-7305-44ea-a334-be0262404313.jpg?aki_policy=large,130000,3,침실 1개,침대 2개,욕실 1개
집 전체,[Sinchon / Hongdae]202> Unshared House_Terrace,무선 인터넷,에어컨,주방,난방,4.94,https://a0.muscache.com/im/pictures/b647f8d4-4c20-424d-bc6d-0a5653fa581d.jpg?aki_policy=large,50000,4,침실 2개,침대 3개,욕실 1개
게스트용 별채의 개인실,1★오즈의집★홍대입구3번출구 3분컷#연트롤파크30초컷#개인실#오픈세일+_+,무선 인터넷,에어컨,주방,난방,4.82,https://a0.muscache.com/im/pictures/65ac3cf3-2645-45ef-b95b-ff66f9b8809f.jpg?aki_policy=large,80000,2,침실 1개,침대 1개,공동 사용 욕실 1개
아파트 전체,+루프탑테라피1+ bbq & Private Rooftop,무선 인터넷,에어컨,주방,난방,4.57,https://a0.muscache.com/im/pictures/9a2769de-616e-43f2-8dd3-53ad06ab6acd.jpg?aki_policy=large,70000,5,침실 1개,침대 2개,욕실 1개
아파트 전체,"JCNY SEOUL 178 B (Hong Dae, Gong Deok, Itaewon)",무선 인터넷,에어컨,주방,난방,4.86,https://a0.muscache.com/im/pictures/2b897b93-2577-4be1-9093-3e8b5cd3be30.jpg?aki_policy=large,260000,4,침실 1개,침대 2개,욕실 1개
아파트 전체,On Sale in Oct! What a view!COEX [3BR+2Ba],무선 인터넷,에어컨,주방,난방,4.79,https://a0.muscache.com/im/pictures/7a78b7b3-5da8-47f7-8b6e-8b864e566060.jpg?aki_policy=large,110000,8,침실 3개,침대 5개,욕실 2개
아파트 전체,MyeongDong / Cozy & Large Guesthouse,무선 인터넷,에어컨,주방,난방,4.7,https://a0.muscache.com/im/pictures/7357ee8a-a79b-4d4c-902b-05333bb6c70b.jpg?aki_policy=large,190000,3,침실 1개,침대 2개,욕실 1개
아파트 전체,Hongdae antique house. 3mins from AREX station.,무선 인터넷,에어컨,주방,난방,4.91,https://a0.muscache.com/im/pictures/17848108-332a-4d48-8508-8f17050664f6.jpg?aki_policy=large,230000,5,침실 3개,침대 4개,욕실 1개
아파트 전체,#03 ⭐ 3min Seoul Stn ⭐ Free Gym | Free Breakfast,무선 인터넷,에어컨,주방,난방,4.95,https://a0.muscache.com/im/pictures/4cd08af6-b638-4c45-92b4-1958b9a89100.jpg?aki_policy=large,250000,2,침실 1개,침대 1개,욕실 1개
집 전체,CHAESONGHWA채송화/종로동대문,무선 인터넷,에어컨,주방,난방,4.81,https://a0.muscache.com/im/pictures/d2a5503b-548b-42d7-8584-a248d5e48797.jpg?aki_policy=large,50000,4,침실 1개,침대 2개,욕실 1개
아파트 전체,Like your home,무선 인터넷,에어컨,주방,난방,4.81,https://a0.muscache.com/im/pictures/87cfaf07-7e87-4ba9-977a-04981853f382.jpg?aki_policy=large,230000,2,침실 1개,침대 1개,욕실 1개
로프트 전체,10mins to Gimpo airport by walk!/Gimpo Airport 1st,무선 인터넷,에어컨,주방,난방,4.84,https://a0.muscache.com/im/pictures/c9d85dbd-2c85-4045-9976-f03fcd728f3e.jpg?aki_policy=large,210000,2,침실 1개,침대 1개,욕실 1개
집 전체,5minutes walk to subway / Cheap! Clean & Cozy,무선 인터넷,에어컨,주방,난방,4.71,https://a0.muscache.com/im/pictures/ceee09db-9527-45ce-a550-df8ecc803754.jpg?aki_policy=large,210000,2,원룸,침대 1개,욕실 1개
집 전체,홍대입구역3번출구5분!4룸!복층 루프탑!,무선 인터넷,에어컨,주방,난방,4.77,https://a0.muscache.com/im/pictures/ec34caab-1413-427f-a50e-5ee01444a4cc.jpg?aki_policy=large,170000,1,침실 4개,침대 6개,욕실 3개
아파트 전체,GK's 1C9T Fantastic View & 8 sec to Gangnam Stn #1,무선 인터넷,에어컨,주방,난방,4.9,https://a0.muscache.com/im/pictures/64ca0f63-3f35-4c79-b8dc-56385b40cc88.jpg?aki_policy=large,190000,4,침실 1개,침대 1개,욕실 1개
로프트 전체,"[ENG, 中, 日] Connected Hongik Univ stn/Free WiFi",무선 인터넷,에어컨,주방,난방,4.9,https://a0.muscache.com/im/pictures/23a0f10b-334f-4a49-96fd-96a037098e6e.jpg?aki_policy=large,250000,7,침실 2개,침대 4개,욕실 1개
게스트용 별채의 개인실,3★오즈의집★홍대입구3번출구 3분컷#연트롤파크30초컷#개인실#오픈세일+_+,무선 인터넷,에어컨,주방,난방,4.61,https://a0.muscache.com/im/pictures/f69a648e-29b2-4f8d-aafa-4d61d5c076d7.jpg?aki_policy=large,280000,2,침실 1개,침대 1개,공동 사용 욕실 1개
집 전체,"에이미하우스 Amyhouse (5min from Samgakji 4,6 subway St)",무선 인터넷,에어컨,주방,난방,5,https://a0.muscache.com/im/pictures/d3541514-e26f-47ae-9c95-10596c2cc358.jpg?aki_policy=large,50000,2,침실 1개,침대 1개,욕실 1개
집 전체,홍대입구역3번출구5분!3룸!,무선 인터넷,에어컨,주방,난방,4.65,https://a0.muscache.com/im/pictures/f6bba417-26c7-43a8-aab4-a9504c2e5561.jpg?aki_policy=large,100000,7,침실 3개,침대 4개,욕실 1개
아파트 전체,[Seoul station] Cosy house,무선 인터넷,에어컨,주방,난방,4.84,https://a0.muscache.com/im/pictures/b6ac494f-2938-49fe-b2bb-abd4d3188f79.jpg?aki_policy=large,160000,4,침실 2개,침대 2개,욕실 1개
집 전체,CHECKINNPLZ -2f,무선 인터넷,에어컨,주방,난방,4.74,https://a0.muscache.com/im/pictures/75748322-a82d-44af-9ccf-6e38849db7dc.jpg?aki_policy=large,260000,3,침실 1개,침대 1개,욕실 1개
집 전체,Jolly's Unique Guest room #5min. from Hongdae Stn,무선 인터넷,에어컨,주방,난방,4.56,https://a0.muscache.com/im/pictures/790fb371-dfed-4e7e-b4c7-f997260d5ad5.jpg?aki_policy=large,220000,3,침실 1개,침대 2개,욕실 1개
게스트 스위트 전체,[Azit1] Private House Mapo Hongdae/Sinchon/Itaewon,무선 인터넷,에어컨,주방,난방,4.83,https://a0.muscache.com/im/pictures/74873d34-8956-428b-9c61-d5e6e3fea015.jpg?aki_policy=large,230000,6,침실 1개,침대 2개,욕실 1개
집 전체,홍대입구역2번출구30초!고층 야경 굿!무료 와이파이~,무선 인터넷,에어컨,주방,난방,4.7,https://a0.muscache.com/im/pictures/d05f0692-be19-4a2f-bf4c-2e8be7c053e7.jpg?aki_policy=large,230000,6,침실 1개,침대 3개,욕실 1개
집 전체,ITAEWON 561,무선 인터넷,에어컨,주방,난방,4.7,https://a0.muscache.com/im/pictures/8841f683-794a-4b55-9296-a88593fad02f.jpg?aki_policy=large,280000,8,침실 2개,침대 4개,욕실 1개
집 전체,Bamboo House(이태원 대나무집) 서울야경 특별한 여행,무선 인터넷,에어컨,주방,난방,4.52,https://a0.muscache.com/im/pictures/18a145ca-7e4b-4810-ba43-e7ef02aedd0b.jpg?aki_policy=large,140000,5,침실 2개,침대 2개,욕실 1개
아파트 전체,Hongdae 3min *Lovely Private Room*,무선 인터넷,에어컨,주방,난방,4.86,https://a0.muscache.com/im/pictures/c6544346-be94-4971-8f6a-3ce4434e220e.jpg?aki_policy=large,180000,2,침실 1개,침대 1개,욕실 1개
집 전체,4#Dean House-Hongik station exit no.6 walk 6min,무선 인터넷,에어컨,주방,난방,4.73,https://a0.muscache.com/im/pictures/53eb04ea-1201-47cc-a96f-c503ae7fc56b.jpg?aki_policy=large,60000,3,침실 1개,침대 2개,욕실 1개
B&B의 개인실,[파격가] 명동/남대문 5분 더블룸+화장실+WiFi 10,무선 인터넷,에어컨,주방,난방,4.64,https://a0.muscache.com/im/pictures/e32eb0e7-a8eb-452c-988e-308bd0e67823.jpg?aki_policy=large,260000,2,침실 1개,침대 1개,단독 사용 욕실 1개
아파트 전체,(NEW) 홍대 중심에 위치한 감각적인 복층 스튜디오,무선 인터넷,에어컨,주방,난방,4.62,https://a0.muscache.com/im/pictures/27674367-2787-4b6a-a9de-94944102a263.jpg?aki_policy=large,280000,4,침실 2개,침대 2개,욕실 1개
아파트 전체,MYEONG DONG best LOCATION for 2P@51,무선 인터넷,에어컨,주방,난방,4.71,https://a0.muscache.com/im/pictures/0e87d4aa-cfb6-4023-897f-8b7bb5bfed1d.jpg?aki_policy=large,90000,2,원룸,침대 1개,욕실 1개
로프트 전체,"홍대/신촌 최신 복층아파트, 스타일러까지 풀옵션",무선 인터넷,에어컨,주방,난방,4.58,https://a0.muscache.com/im/pictures/a54c321c-d8e7-408b-8074-efaafa1268c6.jpg?aki_policy=large,90000,3,침실 1개,침대 1개,욕실 1개
아파트 전체,[ Myeongdong] #006Jongno Nana'house,무선 인터넷,에어컨,주방,난방,4.79,https://a0.muscache.com/im/pictures/17180c87-d74a-439b-833f-8f40d5278759.jpg?aki_policy=large,90000,2,침실 1개,침대 1개,욕실 1개
콘도(아파트) 전체,Rollin's Joint,무선 인터넷,에어컨,난방,,4.77,https://a0.muscache.com/im/pictures/80a2eedb-6ba9-4e7b-bd9e-6cf6aa59c75a.jpg?aki_policy=large,270000,6,침실 1개,침대 1개,욕실 1개
타운하우스 전체,풀잎룸/leaf of grass/명동 Namsan view/hyojung house,무선 인터넷,에어컨,주방,난방,4.46,https://a0.muscache.com/im/pictures/8fdcf5c3-63de-4968-9813-43d67b9c8058.jpg?aki_policy=large,70000,2,침실 1개,침대 1개,욕실 1개
호스텔의 객실,Banana homes - Single room(private bath),무선 인터넷,에어컨,주방,난방,4.65,https://a0.muscache.com/im/pictures/65974815/f3da8745_original.jpg?aki_policy=large,230000,1,침실 1개,침대 1개,욕실 1개
아파트 전체,★Directly Connected to Station ☆,무선 인터넷,에어컨,주방,난방,4.7,https://a0.muscache.com/im/pictures/4d358b28-41ad-465a-aaa6-cab59a62a6d3.jpg?aki_policy=large,260000,2,침실 1개,침대 1개,욕실 1개
